TARGET_CLASS,search_budget,Total_Time,Length,Size,LineCoverage,BranchCoverage,OutputCoverage,WeakMutationScore,Implicit_MethodExceptions,MutationScore
eu.supersede.integration.api.security.test.IFAuthenticationManagerTest,60,64183,2,2,0.06766917293233082,0.03773584905660377,1.0,0.0,1,0.0
eu.supersede.integration.api.security.test.IFAuthenticationManagerTest,60,64139,2,2,0.06766917293233082,0.03773584905660377,1.0,0.0,1,0.0
eu.supersede.integration.api.security.IFAuthenticationManager,60,66127,1,1,0.029850746268656716,0.017543859649122806,0.0,0.0,1,0.0
eu.supersede.integration.api.security.IFAuthenticationManager,60,65759,1,1,0.029850746268656716,0.017543859649122806,0.0,0.0,1,0.0
eu.supersede.integration.api.security.IFAuthenticationManager,60,66228,1,1,0.04411764705882353,0.017543859649122806,0.0,0.0,1,0.0
eu.supersede.integration.api.security.types.User,60,70014,345,81,1.0,0.8619246861924686,0.8166666666666667,0.8584070796460177,6,0.3805309734513274
eu.supersede.integration.api.security.types.User,60,69702,337,81,1.0,0.8619246861924686,0.8166666666666667,0.8584070796460177,6,0.39823008849557523
eu.supersede.integration.api.adaptation.dashboad.types.Action,60,13220,53,18,1.0,1.0,1.0,1.0,0,0.5
eu.supersede.integration.api.adaptation.dashboad.types.Action,60,6052,53,18,1.0,1.0,1.0,1.0,0,0.5
eu.supersede.integration.api.adaptation.dashboad.types.Adaptation,60,64466,60,19,1.0,1.0,0.8181818181818182,1.0,0,0.5
eu.supersede.integration.api.adaptation.dashboad.types.Enactment,60,5179,41,13,1.0,1.0,1.0,1.0,0,0.5
eu.supersede.integration.api.adaptation.types.ActionOnAttribute,60,2295,28,10,1.0,1.0,1.0,1.0,0,0.6666666666666666
eu.supersede.integration.api.adaptation.types.ActionOnFeature,60,2120,18,7,1.0,1.0,1.0,1.0,0,0.25
eu.supersede.integration.api.adaptation.types.AdaptabilityModel,60,3668,8,3,1.0,1.0,1.0,1.0,0,1.0
eu.supersede.integration.api.adaptation.types.AdaptationMode,60,70905,10,5,0.625,1.0,0.3,1.0,1,0.3333333333333333
