GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
eu.supersede.if.api,eu.supersede.integration.api.security,IFAuthenticationManager,146,604,23,23,28,118,22,17,2,14
eu.supersede.if.api,eu.supersede.integration.api.security,IFAccount,20,45,2,2,7,19,3,4,1,4
eu.supersede.if.api,eu.supersede.integration.api.security,IFUserStoreManager,777,482,25,13,175,85,56,20,38,19
eu.supersede.if.api,eu.supersede.integration.api.security,IFAuthenticationManager.new HostnameVerifier() {...},8,28,1,1,3,7,1,2,0,2
eu.supersede.if.api,eu.supersede.integration.api.security,IFAuthenticationManager.new X509TrustManager() {...},1,6,0,0,1,3,1,3,1,3
eu.supersede.if.api,eu.supersede.integration.federation,SupersedeFederation,4,71,2,2,3,20,2,4,0,4
eu.supersede.if.api,eu.supersede.integration.exception,IFException,4,0,0,0,2,0,1,0,1,0
eu.supersede.if.api,eu.supersede.integration.api.mail.proxies,EmailPayload,10,0,0,0,4,0,3,0,3,0
eu.supersede.if.api,eu.supersede.integration.api.mail.proxies,MailProxy,77,0,2,0,15,0,4,0,3,0
eu.supersede.if.api,eu.supersede.integration.api.replan.optimizer_v2.proxies,ReplanOptimizerProxy.new ArrayList() {...},0,10,0,0,0,1,0,1,0,1
eu.supersede.if.api,eu.supersede.integration.api.replan.optimizer_v2.proxies,ReplanOptimizerProxy,0,50,0,0,0,7,0,3,0,3
eu.supersede.if.api,eu.supersede.integration.api.monitoring.manager.types,MonitorSpecificConfigurationResult,10,14,0,0,4,6,3,4,3,4
eu.supersede.if.api,eu.supersede.integration.api.monitoring.manager.types,SocialNetworkMonitorConfiguration,0,3,0,0,0,1,0,1,0,1
eu.supersede.if.api,eu.supersede.integration.api.monitoring.manager.types,GooglePlayMonitorConfiguration,0,10,0,0,0,4,0,3,0,3
eu.supersede.if.api,eu.supersede.integration.api.monitoring.manager.types,Method,0,24,0,0,0,3,0,1,0,1
eu.supersede.if.api,eu.supersede.integration.api.monitoring.manager.types,QoSMonitorConfiguration,3,0,0,0,1,0,1,0,1,0
eu.supersede.if.api,eu.supersede.integration.api.monitoring.manager.types,DiskMonitorConfiguration,32,0,2,0,12,0,8,0,7,0
